Nom de l'établissement	Adresse	Site Web	Status
Le Spa by Dihan	9 Kerganiet 56400 Ploemel France	http://www.dihan-evasion.org/	Traité
SPA du Tumulus	Chem. du Tumulus 56340 Carnac France	https://www.hotel-tumulus.com/espace-bien-etre/	Traité
Ambiances et Spa	Parc des Pyramides 413 Rue des Bourreliers 59320 Hallennes-lez-Haubourdin France	http://www.ambiancesetspa.com/	Traité
Or de soie Spa	64 Rue de Condé 62160 Bully-les-Mines France		
Spa des Îles	Parc de la porte Nord Rue Jean Joseph etienne Lenoir 62700 Bruay-la-Buissière France	https://www.planity.com/spa-des-iles-bruay-62700-bruay-la-buissiere	Traité
Sparenthèses	937 Rue de Lille 62400 Béthune France	https://www.sparentheses.com/	Traité
SPA Océane	Aquarena - Centre aquatique Spa et Fitness Arras 33 Bd Robert Schuman 62000 Arras France	https://www.planity.com/spa-oceane-62000-arras	Traité
Spa Océane Béthune	Av. du Pont des Dames 62400 Béthune France	https://www.planity.com/centre-aquatique-oceane-62400-bethune	Traité
Le Spa Du Moulin	234 Rue du Moulin 62150 La Comté France	https://www.lespadumoulin.fr/	Traité
Aurum Spa - Institut de bien-être & Epilation définitive.	3 Rue de Govean 56370 Sarzeau France	https://aurum-spa.com/	Traité
SPA Nature et Sens	2 Rue des Grands Arbres 59440 Sémeries France	https://www.spa-nature-et-sens.fr/	Traité
Ô Sparadis maroilles	360 Rue du Faux 59550 Maroilles France	https://www.osparadis-maroilles.fr/	Traité
Ô Spa	366 Rue de l'Aven 59279 Craywick France	https://www.o-chambres-dhotes-nord.fr/fr/page/espace-bien-etre	Traité
Ô fil de l'eau	830 Rte d'Avesnes le Quesne au Leu 59570 Mecquignies France	http://www.xn--fildeleau-f7a.com/	Traité
Manutea spa	70 Rue Franklin Roosevelt 59420 Mouvaux France	http://www.manuteaspa.fr/	Traité
Eauzone Spa Villeneuve d'ascq	206 Rue Faidherbe 59260 Lille France	http://www.eauzone-spa.com/	Traité
Bleu Campagne	12 bis Haute Rue 59138 Pont-sur-Sambre France	https://www.bleu-campagne.fr/	Traité
Spa Marin - Grand Hôtel des Bains	15 Rue de l'Église 29241 Locquirec France	https://www.grand-hotel-des-bains.com/fr/page/hotel-spa-finistere.24073.html	Traité
L'Escale Bien être Locquirec	1a Rue du Varcq 29241 Locquirec France	https://www.lescale.bzh/spa-et-fitness/	Traité
Brahma SPA | Massages traditionnels de bien-être | Jacuzzi & Hammam privatifs | Soins en duo	42 Rue Saint-Mathieu 29000 Quimper France	https://www.planity.com/brahma-spa-29000-quimper	Traité
RELAIS THALASSO Bénodet	Cor de la Plage 29950 Bénodet France	https://benodet.relaisthalasso.com/	Traité
Ambiance Bien Etre	4 Rue Isole 29300 Quimperlé France	https://ambiance-bien-etre.fr/	Traité
Renaitre	Espace Santé Immeuble Sud 43 Av. d'Italie 2ème étage 80090 Amiens France	https://centrerenaitre.com/?utm_source=gmb	Traité
Spa Avenue Saint-Quentin	90b Rue Villebois Mareuil 02100 Saint-Quentin France	https://spa-avenue.fr/Saint-Quentin	Traité
Spa Avenue Amiens	80 rue de Mercey Chem. Noir 80000 Amiens France	https://www.spa-avenue.fr/amiens	Traité
